"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"IMF.RES:WEO(9.0.0)","ARG.NGDPD.A","OBS_VALUE","Argentina","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","424.729","527.644","579.666","611.471","563.614","642.464","556.774","643.861","524.431","446.762","385.218","486.04","633.52","648.895","637.234","683.371","667.922","710.438","754.27","798.651","842.591"
"IMF.RES:WEO(9.0.0)","COL.NGDPD.A","OBS_VALUE","Colombia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","286.499","334.966","370.691","382.094","381.241","293.493","282.72","311.889","334.124","323.054","270.348","318.525","345.632","366.292","418.818","438.121","462.251","482.176","504.35","528.479","552.724"
"IMF.RES:WEO(9.0.0)","BOL.NGDPD.A","OBS_VALUE","Bolivia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","19.786","24.135","27.282","30.883","33.237","33.241","34.189","37.782","40.581","41.193","36.897","40.701","44.329","45.464","46.967","57.086","","","","",""
"IMF.RES:WEO(9.0.0)","BRA.NGDPD.A","OBS_VALUE","Brazil","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2208.704","2614.027","2464.053","2471.718","2456.055","1800.046","1796.622","2063.519","1916.934","1873.286","1476.092","1670.65","1951.849","2191.137","2179.413","2256.91","2292.69","2413.082","2535.726","2670.791","2814.461"
"IMF.RES:WEO(9.0.0)","CHL.NGDPD.A","OBS_VALUE","Chile","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","217.105","251.225","267.165","277.218","259.394","242.515","249.306","276.357","295.428","278.04","254.06","315.411","301.27","335.627","330.21","347.174","363.299","380.53","396.837","413.81","431.103"
"IMF.RES:WEO(9.0.0)","ECU.NGDPD.A","OBS_VALUE","Ecuador","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","68.151","78.987","87.735","96.57","102.718","97.21","97.671","104.467","107.479","107.596","95.865","107.179","116.133","121.147","124.676","130.529","134.711","140.226","146.065","152.413","159.376"
"IMF.RES:WEO(9.0.0)","MEX.NGDPD.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1105.424","1229.014","1255.11","1327.436","1364.508","1213.294","1112.233","1190.721","1256.3","1304.106","1121.065","1316.569","1466.935","1798.318","1856.366","1862.74","2030.999","2125.974","2226.997","2332.093","2442.324"
"IMF.RES:WEO(9.0.0)","URY.NGDPD.A","OBS_VALUE","Uruguay","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","43.967","52.354","55.938","62.857","62.546","58.218","57.58","65.068","65.37","62.229","53.557","60.742","70.6","77.997","80.961","84.986","90.64","94.664","99.564","104.523","109.839"
"IMF.RES:WEO(9.0.0)","VEN.NGDPD.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","318.281","316.482","372.592","258.931","214.69","125.449","112.915","115.883","102.021","73.014","42.838","56.615","89.013","102.377","119.803","82.767","79.916","","","",""
"IMF.RES:WEO(9.0.0)","PER.NGDPD.A","OBS_VALUE","Peru","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","149.284","170.662","193.021","203.056","204.2","194.425","198.94","219.525","229.824","236.414","209.984","229.832","248.204","271.78","294.675","318.48","326.608","344.74","360.511","376.719","393.88"
"IMF.RES:WEO(9.0.0)","PRY.NGDPD.A","OBS_VALUE","Paraguay","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","27.129","33.737","33.296","38.651","40.378","36.211","36.09","38.997","40.225","37.925","35.432","39.951","41.953","43.118","44.458","47.398","51.669","54.636","57.69","60.926","64.347"
