"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.RES:WEO(9.0.0)","ARG.NGDPD.A","OBS_VALUE","Argentina","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","317.759","300.421","112.458","142.431","164.911","199.273","232.892","287.921","363.545","334.633","424.729","527.644","579.666","611.471","563.614","642.464","556.774","643.861","524.431","446.762","385.218","486.040","633.520","648.895","637.234","681.485","688.378","703.668","746.843","789.967","833.284","878.051"
"IMF.RES:WEO(9.0.0)","BOL.NGDPD.A","OBS_VALUE","Bolivia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","9.371","9.100","8.895","9.056","9.790","10.750","12.897","14.910","19.078","20.071","22.698","27.915","31.444","35.965","39.307","40.034","41.606","46.262","48.767","49.414","42.622","48.227","51.331","52.722","55.281","64.250","80.743","","","","",""
"IMF.RES:WEO(9.0.0)","COL.NGDPD.A","OBS_VALUE","Colombia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","99.270","97.606","97.353","94.072","116.382","145.601","161.793","206.230","242.504","232.469","286.499","334.967","370.692","382.094","381.241","293.493","282.720","311.890","334.124","323.055","270.348","318.525","345.632","366.901","420.504","457.410","539.530","554.384","578.238","604.409","632.137","661.138"
"IMF.RES:WEO(9.0.0)","BRA.NGDPD.A","OBS_VALUE","Brazil","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","655.454","559.982","509.798","558.232","669.290","891.633","1107.628","1397.114","1695.855","1669.204","2208.704","2614.027","2464.053","2471.718","2456.055","1800.046","1796.622","2063.519","1916.934","1873.286","1476.092","1670.650","1951.849","2191.137","2185.822","2279.918","2635.912","2766.558","2879.420","3037.171","3203.508","3378.877"
"IMF.RES:WEO(9.0.0)","ECU.NGDPD.A","OBS_VALUE","Ecuador","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","17.531","23.127","27.054","30.965","35.195","40.279","45.691","49.849","61.139","60.095","68.151","78.987","87.735","96.570","102.718","97.210","97.671","104.467","107.479","107.596","95.865","107.179","116.133","120.793","123.802","130.321","138.194","144.135","150.136","156.661","163.818","171.302"
"IMF.RES:WEO(9.0.0)","CHL.NGDPD.A","OBS_VALUE","Chile","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","78.250","71.517","70.295","76.508","99.079","122.315","153.840","172.565","179.663","171.794","217.105","251.225","267.165","277.218","259.394","242.515","249.306","276.357","295.428","278.040","254.060","315.411","301.270","335.627","330.210","355.346","407.850","434.037","455.022","475.623","496.763","519.088"
"IMF.RES:WEO(9.0.0)","MEX.NGDPD.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","742.061","796.055","810.666","765.550","819.459","917.572","1020.265","1102.356","1161.553","943.437","1105.424","1229.014","1255.110","1327.436","1364.508","1213.294","1112.233","1190.721","1256.300","1304.106","1121.065","1316.569","1466.935","1794.410","1830.489","1832.641","2120.855","2222.003","2327.102","2435.745","2548.630","2667.215"
"IMF.RES:WEO(9.0.0)","PAN.NGDPD.A","OBS_VALUE","Panama","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","11.966","12.253","12.801","13.603","15.100","16.624","18.660","21.717","25.721","27.791","30.231","35.688","41.595","46.949","51.427","55.768","59.761","64.328","67.316","69.779","57.060","67.396","76.479","83.812","86.524","90.463","95.024","101.325","108.043","115.443","123.098","131.260"
"IMF.RES:WEO(9.0.0)","URY.NGDPD.A","OBS_VALUE","Uruguay","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","24.892","22.802","14.863","13.159","14.959","18.986","21.416","25.603","33.151","34.565","43.967","52.354","55.938","62.857","62.546","58.218","57.580","65.068","65.370","62.229","53.557","60.742","71.247","79.214","82.323","85.575","96.092","100.859","104.917","109.609","115.274","121.215"
"IMF.RES:WEO(9.0.0)","VEN.NGDPD.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","117.596","123.119","95.258","83.684","112.254","143.375","178.521","232.857","306.764","268.624","318.281","316.482","372.592","258.932","214.690","125.449","112.915","115.882","102.021","73.014","42.838","56.615","89.013","102.378","120.566","99.661","111.303","117.908","","","",""
"IMF.RES:WEO(9.0.0)","PER.NGDPD.A","OBS_VALUE","Peru","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","50.352","51.053","53.921","58.578","66.214","74.054","87.667","102.335","120.240","122.427","149.267","170.773","193.268","201.568","203.671","193.344","198.818","220.090","229.550","236.263","209.057","228.704","248.179","272.755","295.220","341.025","380.900","386.375","402.720","418.912","437.099","458.414"
"IMF.RES:WEO(9.0.0)","PRY.NGDPD.A","OBS_VALUE","Paraguay","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","8.856","8.496","7.196","7.691","9.624","10.738","13.430","17.856","24.615","22.355","27.129","33.737","33.296","38.651","40.378","36.211","36.090","38.997","40.225","37.925","35.432","39.937","41.841","43.140","44.739","49.358","60.542","64.029","67.644","71.476","75.522","79.788"
