Posicion,Pais,Oro,Plata,Bronce,Total,RankingTotal,Zona
1,Estados Unidos,124,75,87,286,1,America del Norte
2,Brasil,66,73,66,205,2,America del Sur
3,México,52,38,52,142,4,America del Norte
4,Canadá,46,55,63,164,3,America del Norte
5,Cuba,30,22,17,69,8,Caribe
6,Colombia,29,38,34,101,5,America del Sur
7,Argentina,17,25,33,75,7,America del Sur
8,Chile,12,31,36,79,6,America del Sur
9,Perú,10,6,16,32,14,America del Sur
10,Venezuela,8,15,21,44,10,America del Sur
11,República Dominicana,8,7,17,32,14,Caribe
12,Ecuador,7,12,17,36,12,America del Sur
13,Puerto Rico,3,6,11,20,17,Caribe
14,Equipo de Atletas Independientes,3,4,12,19,18,Independiente
15,Uruguay,2,5,3,10,21,America del Sur
16,Panamá,2,1,5,8,23,America Central
17,Bolivia,2,1,2,5,26,America del Sur
18,Costa Rica,1,1,7,9,22,America Central
19,El Salvador,1,1,2,4,28,America Central
19,Trinidad y Tobago,1,1,2,4,28,Caribe
21,Paraguay,1,0,6,7,24,America del Sur
22,Jamaica,1,0,5,6,25,Caribe
23,Aruba,0,2,1,3,30,Caribe
24,Nicaragua,0,2,0,2,33,America Central
25,Bahamas,0,1,2,3,30,Caribe
25,Guyana,0,1,2,3,30,America del Sur
25,Haití,0,1,2,3,30,Caribe
28,Antigua y Barbuda,0,1,0,1,35,Caribe
28,Surinam,0,1,0,1,35,America del Sur
30,Barbados,0,0,2,2,33,Caribe
31,Bermudas,0,0,1,1,35,Caribe
31,Dominica,0,0,1,1,35,Caribe
31,Honduras,0,0,1,1,35,America Central
31,Islas Vírgenes Británicas,0,0,1,1,35,Caribe
31,San Cristóbal y Nieves,0,0,1,1,35,Caribe
